Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = 2n + 5[/$];[$]O(n)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = k n^2 - 8[/$];[$]O(n^2)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = k n \log n + k[/$];[$]O(n \log n)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n) + O(n^2)[/$];[$]O(n^2)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n^2) + O(n \log n)[/$];[$]O(n^2)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n) + O(n \log n)[/$];[$]O(n \log n)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n) + O(n^2) + O(n \log n)[/$];[$]O(n^2)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n) * O(n^2)[/$];[$]O(n^3)[/$]
Vereinfachen Sie die folgenden Funktionen mit Hilfe der O-Notation:\n\n[$]T(n) = O(n^2) * O(n \log n)[/$];[$]O(n^3 \log n)[/$]
Geben Sie ein Beispiel für Elementaroperationen;Zuweisungen(x:=1)\n Vergleich (x<y)\nArithmetische Operation (x+y)\nArrayzugriff (s[i])
Geben Sie ein Beispiel für nicht elementare Operationen;Schleifen(while, for, repeat)\nProzeduraufruf (insb. Rekursion)
