Wie lässt sich der Begriff Datenbank definieren?;Eine Datenbank ist eine integrierte Ansammlung von Daten, die allen Benutzern eines Anwendungsbereiches als gemeinsame Basis aktueller Information dient.
Was ist ein DBMS?;Das DBMS ist ein Softwaresystem das es ermöglicht, eine Datenbank zu definieren, Daten zu speichern, zu verändern und zu löschen, sowie Anfragen an die Datenbank zu stellen. Das DBMS isoliert also die Datenbank von den Anwendungsprogrammen
Woraus setzt sich ein Datenbanksystem (DBS) zusammen?;Datenbank und Datenbanksoftware bilden zusammen das Datenbanksystem (DBS).
Die traditionelle Verarbeitung großer Datenmengen mittels Dateisystemen führt zu schwerwiegenden Problemen. Nennen Sie vier davon!;* Redundanz: Da die Daten jeweils speziell für bestimmte Anwendungen entworfen werden, werden dieselben Daten in verschiedenen Dateien wieder auftauchen (z.B. Namen, Adressen). * Inkonsistenz: Die Konsistenz der Daten (d.h. die logische Übereinstimmung der Datei-Inhalte) kann nur schwer gewährleistet werden. * Daten-Programm-Abhängigkeit: Ändert sich der Aufbau einer Datei oder ihrer Organisationsform, so müssen darauf basierende Programme geändert werden. * Inflexibilität: Da die Daten nicht in ihrer Gesamtheit, sondern nur anwendungs-bezogen gesehen werden, ist es in vielen Fällen sehr kompliziert, neue Anwendungen oder Auswertungen vorhandener Daten zu realisieren.
Was bedeutet Datenunabhängigkeit?;Die Trennung von Anwendungsprogramm und Daten, welche durch das DBMS erreicht wird. Das DBMS übergibt dem Anwendungsprogramm nicht mehr ganze Sätze, so wie sie im Speicher liegen, sondern genau die vom Anwendungsprogramm benötigten Datenelemente. Veränderungen des Satzaufbaus oder der internen Organisation der Daten bleiben somit für das Anwendungsprogramm unsichtbar, so dass bisher laufende Programme von solchen Änderungen nicht betroffen werden.
Warum ist Integrität ein Vorteil eines DBS und was ist damit gemeint?;Integrität der Daten bedeutet ganz allgemein Korrektheit und Vollständigkeit der abgespeicherten Daten. Die zentrale Verwaltung der Daten durch das DBMS ermöglicht es, bei Änderung von Daten Kontrollroutinen einzuschalten oder von Zeit zu Zeit mit Hilfe spezieller Prüfprogramme nach Integritätsverletzungen zu suchen. In Dateisystemen ist der Anwendungspro-grammierer dafür verantwortlich, geeignete Prüfungen in seine Programme einzubauen, die verhindern, dass falsche Daten abgespeichert werden.
Nennen Sie acht Vorteile der Datenbank-Philosophie ggü. konventionellen Dateisystemen.;* Gemeinsame Basis für alle Anwendungen, * Redundanz entfällt: Wo sie nützlich ist, wird sie durch das DBMS kontrolliert,* Konsistenzprobleme entfallen wg. fehlender Redundanz, * Vereinfachte Anwendungsprogrammierung, da Programmierer sich nicht mit Organisation der ihn interessierenden Eigenschaften der Daten auf den Speichern kennen muss, * Abhängigkeit zwischen Programmen und Daten wird reduziert, Änderungen in der Datenorganisation führen nicht zu Änderungen der Anwendungsprogramme, * Mehr Flexibilität für die Datenauswertung durch das DBS: Es ist einfacher, neue Anwendungen zu programmieren oder ungeplante Anfragen zu beantworten. * Das DBS kann zentral die Korrektheit von Daten überprüfen. * Das Datenbanksystem kann zentral Mechanismen zur Wiederherstellung einer korrekten Datenbank nach dem Auftreten von Fehlern bereitstellen.
Welche drei Datenebenen müssen unterschieden werden bei einem DBS? Erläuterung!;* Logische Gesamtsicht: Beschreibung aller Daten auf logischer Ebene in Form von Informationseinheiten und deren Beziehungen zueinander. * Interne Sicht: Organisation der Daten auf dem Speicher, sodass Zugriffsanforderungen verschiedener Benutzer möglichst effizient erfüllt werden können. * Externe Sichten: Darstellung der Daten, wie es für Benutzer wünschenswert oder natürlich ist.
Was leistet das DBMS in Bezug auf externe Sichten, interne Sicht und logische Gesamtsicht?;Die notwendige Umsetzung von einer externen Sicht in die logische Gesamtsicht und von dort in die interne Sicht.
Erklären Sie die Architektur eines Datenbanksystems; Datenbeschreibungssprachen beschreiben Modelle der Datenwelt in einer für das DBMS verständlichen Form. Beschreibung nennt sich Schema * Es gibt drei Schemata: Externe Schemata, konzeptuelles Schema (Beschreibung der logischen Gesamtsicht) und internes Schema. * Transformationsregeln definieren Abbildungen zwischen den Ebenen. * DBMS nimmt Benutzeraufträge entgegen, welche in Begriffen des externen Schemas formuliert sind. * DBMS stellt über Datenebenen hinweg fest, welche gespeicherten Daten für die Bearbeitung des Benutzerauftrags benötigt werden. * Speicherzugriffe erfolgen über das Betriebssystem
Was beschreibt das konzeptuelle Modell?;Gesamtheit der Daten, die in der Datenbank verwaltet werden, inkl. aller wesentlichen Beziehungen zwischen den Daten. * Bedingungen für die Daten (Integritätsbedingungen). * Vorschriften für das Ändern von Daten.
Wozu dient die Datenmanipulationssprache heute verbreiteter DBS?;Zugriff auf Datenbank mit Operationen wie speichern, lesen, löschen und modifizieren.
Welche vier Vorteile gewinnt man mit dem konzeptuellen Modell?;* Es stellt einen stabilen Bezugspunkt für alle Anwendungen dar. * Es stellt eine einheitliche Dokumentation wesentlicher Aspekte des Unternehmens dar. * Es bietet die Möglichkeit, den Gebrauch der Daten an zentraler Stelle zu kontrollieren. * Es schafft die wesentlichen Voraussetzung für Datenunabhängigkeit der Anwendungsprogramme.
Womit wird das konzeptuelle Modell beschrieben?;Es wird mit Hilfe einer geeigneten Datenbeschreibungssprache (DDL) im konzeptuellen Schema beschrieben.
Welche 9 Schritte laufen ab, wenn ein Anwendungsprogramm ein Objekt lesen will?;1. Das DBMS empfängt den Befehl des Anwendungsprogrammes, ein bestimmtes Objekt eines externen Modells zu lesen. 2. Das DBMS holt sich die benötigten Definitionen des entsprechenden Objekttyps aus dem zugehörigen externen Schema. 3. Mit Hilfe der Transformationsregeln externes/konzeptuelles Schema stellt das DBMS fest, welche konzeptuellen Objekte und Beziehungen benötigt werden. 4. Mit Hilfe der Transformationsregeln konzeptuelles/internes Schema stellt das DBMS fest, welche physischen Objekte zu lesen sind, es ermittelt die auszunutzenden Zugriffspfade. 5. Das DBMS übergibt dem Betriebssystem die Nummern der zu lesenden Speicherblöcke. 6. Das Betriebssystem übergibt die verlangten Blöcke an das DBMS in einem Systempuffer. 7. Mit Hilfe der Transformationsregeln stellt das DBMS aus den vorhandenen physischen Sätzen das verlangte externe Objekt zusammen. 8. Das DBMS übergibt das externe Objekt dem Anwendungsprogramm in seinen Arbeitsspeicher. 9. Das Anwendungsprogramm verarbeitet die vom DBMS übergebenen Daten.
Was bedeutet Binden und was kann dabei passieren?;Möchte ein Anwendungsprogramm ein Objekt lesen, muss der Befehl, der sich auf das externe Objekt bezieht ersetzt werden durch Befehle, die sich auf das konzeptuelle Modell und dann auf das interne Modell beziehen. Die Daten des Anwendungsprogramms sind dann an das konzeptuelle Modell/interne Modell gebunden. * Problem: Ändert sich nach dem Binden des Anwendungsprogramms das interne Modell, arbeitet das Anwendungsprogramm mit fehlerhaften Daten.
